id,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,E1,E2,E3,E4,E5,age,gender,edu,income,marital_status,religion, employment,employment_condition
168,4,4,4,4,2,2,3,3,3,3,3,3,2,2,3,4,,2,4,4,4,4,4,3,3,2,3,3,3,2,3,2,4,2,1,2
169,3,4,4,4,4,4,2,2,2,4,2,2,3,3,3,3,3,,3,2,2,2,2,2,2,2,2,2,1,2,3,3,4,2,1,1
170,2,2,2,3,2,2,3,3,3,4,2,3,2,3,1,2,2,3,1,1,1,4,2,2,2,3,2,3,3,2,3,2,1,1,1,2
171,3,4,3,4,3,4,2,2,3,2,2,2,2,3,2,3,2,3,4,2,4,4,2,2,3,3,3,3,1,2,3,2,1,2,1,4
172,3,3,3,3,2,3,1,1,2,1,2,1,2,3,3,3,3,3,2,2,2,2,2,3,3,2,2,3,1,2,4,5,1,1,1,2
173,1,1,1,1,1,1,4,3,4,4,4,3,5,5,4,4,4,3,4,2,4,2,2,4,4,4,4,4,4,2,4,5,2,1,1,3
174,4,,4,2,2,3,3,4,2,3,2,2,3,3,2,1,1,2,1,1,1,1,1,1,2,2,1,3,4,2,,2,2,1,1,3
175,2,2,2,1,1,4,4,4,4,4,3,4,3,4,4,4,4,4,1,1,4,3,1,4,4,4,4,4,4,2,3,2,2,5,1,
176,1,2,2,3,2,3,4,4,3,3,3,3,1,1,3,3,3,3,2,2,1,2,2,3,3,2,3,2,3,2,3,2,3,1,1,2
177,3,2,2,2,4,2,4,1,3,3,2,2,1,1,3,3,2,2,3,4,3,2,2,2,3,2,2,4,3,2,2,2,4,2,1,2
178,2,2,3,2,2,2,4,4,3,4,3,3,2,3,2,2,3,3,4,3,3,3,2,3,2,3,3,3,3,2,3,3,1,1,1,3
179,4,2,4,3,3,2,3,4,4,3,3,3,3,4,3,3,3,4,4,2,4,3,2,3,4,2,2,,2,2,3,2,4,1,1,3
180,1,2,1,1,4,2,4,4,4,4,4,4,1,5,4,5,4,4,4,4,4,4,1,4,4,4,3,4,3,2,2,3,4,3,1,3
